time,cpu,mem,disk
2026-03-23 00:34:01,2,21,6
2026-03-23 00:34:04,1,21,6
2026-03-23 00:34:07,0,21,6
2026-03-23 00:34:10,0,21,6
2026-03-23 00:34:13,1,21,6
2026-03-23 00:34:16,1,21,6
2026-03-23 00:34:18,1,21,6
2026-03-23 00:34:21,1,21,6
2026-03-23 00:34:24,0,21,6
2026-03-23 00:34:27,1,21,6
2026-03-23 00:34:30,0,21,6
2026-03-23 00:34:33,0,21,6
2026-03-23 00:34:36,1,21,6
2026-03-23 00:34:39,1,21,6
2026-03-23 00:34:42,0,21,6
2026-03-23 00:34:44,0,21,6
2026-03-23 00:34:47,1,21,6
2026-03-23 00:34:50,1,21,6
2026-03-23 00:34:53,0,21,6
2026-03-23 00:34:56,0,21,6
2026-03-23 00:34:59,0,21,6
2026-03-23 00:35:02,1,21,6
2026-03-23 00:35:05,0,21,6
2026-03-23 00:35:07,0,21,6
2026-03-23 00:35:10,0,21,6
2026-03-23 00:35:13,0,21,6
2026-03-23 00:35:16,2,21,6
2026-03-23 00:35:19,0,21,6
2026-03-23 00:35:22,1,21,6
2026-03-23 00:35:25,1,21,6
2026-03-23 00:35:28,1,21,6
2026-03-23 00:35:30,1,21,6
2026-03-23 00:35:33,0,21,6
2026-03-23 00:35:36,4,21,6
2026-03-23 00:35:39,1,21,6
2026-03-23 00:35:42,2,21,6
2026-03-23 00:35:45,1,21,6
2026-03-23 00:35:48,0,21,6
2026-03-23 00:35:51,1,21,6
2026-03-23 00:35:54,0,21,6
2026-03-23 00:35:56,1,21,6
2026-03-23 00:35:59,1,21,6
2026-03-23 00:36:02,0,21,6
2026-03-23 00:36:05,2,21,6
2026-03-23 00:36:08,0,21,6
2026-03-23 00:36:11,1,21,6
2026-03-23 00:36:14,1,21,6
2026-03-23 00:36:17,0,21,6
2026-03-23 00:36:19,1,21,6
2026-03-23 00:36:22,1,21,6
2026-03-23 00:36:25,1,21,6
2026-03-23 00:36:28,1,21,6
2026-03-23 00:36:31,1,21,6
2026-03-23 00:36:34,0,21,6
2026-03-23 00:36:37,0,21,6
2026-03-23 00:36:40,0,21,6
2026-03-23 00:36:43,0,21,6
2026-03-23 00:36:45,0,21,6
2026-03-23 00:36:48,1,21,6
2026-03-23 00:36:51,4,21,6
2026-03-23 00:36:54,2,21,6
2026-03-23 00:36:57,0,21,6
2026-03-23 00:37:00,1,21,6
2026-03-23 00:37:03,1,21,6
2026-03-23 00:37:06,1,21,6
2026-03-23 00:37:08,0,21,6
2026-03-23 00:37:11,1,21,6
2026-03-23 00:37:14,0,21,6
2026-03-23 00:37:17,0,21,6
2026-03-23 00:37:20,1,21,6
2026-03-23 00:37:23,0,21,6
2026-03-23 00:37:26,0,21,6
2026-03-23 00:37:29,0,21,6
2026-03-23 00:37:32,0,21,6
2026-03-23 00:37:34,0,21,6
2026-03-23 00:37:37,7,21,6
2026-03-23 00:37:40,0,21,6
2026-03-23 00:37:43,0,21,6
